;#META# 000.SortField;#META# 000.BookURI;#META# 010.AuthorAKA;#META# 010.AuthorNAME;#META# 011.AuthorBORNH;#META# 012.AuthorBORNC;#META# 013.AuthorDIEDH;#META# 014.AuthorDIEDC;#META# 015.Author Geographical Area;#META# 016.Century;#META# 020.BookTITLE;#META# 020.BookTITLESUB;#META# 021.BookSUBJ;#META# 022.BookVOLS;#META# 025.BookLANG;#META# 029.BookTITLEalt;#META# 030.LibURI;#META# 030.LibURIextra;#META# 031.LibREADONLINE;#META# 031.LibURL;#META# 031.LibURLFILE;#META# 031.LibURLextra;#META# 040.EdALL;#META# 040.EdEDITOR;#META# 041.EdNUMBER;#META# 041.EdNumber;#META# 043.EdPUBLISHER;#META# 044.EdPLACE;#META# 045.EdYEAR;#META# 049.EdISBN;#META# 049.EdPAGES;#META# 049.EdPHYSICAL;#META# 049.EdVOLUME;#META# 090.RecMISC;#META# 091.Number of tokens;#META# 092.Tagging;#META# 999.MiscINFO
Fiqh19; JK_000221;0597IbnJawzi.TahqiqFiAhadithKhilaf; ابن الجوزي; عبد الرحمن بن علي بن محمد بن الجوزي أبو الفرج;508;1126;597;1200; Fertile Crescent ; 6th/12th century; التحقيق في أحاديث الخلاف; NODATA; فقه حنبلي;2; NODATA; التحقيق في أحاديث الخلاف; JK_000221; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; مسعد عبد الحميد محمد السعدني; الأولى; NODATA; دار الكتب العلمية; بيروت;1415; NODATA; NODATA; NODATA; NODATA; NODATA;215473;  Books ### | Quran @QB@ @QE@ ; NODATA
Fiqh2; Shamela_0001661;0264IbnYahyaMuzani.Mukhtasar;المزني; إسماعيل بن يحيى بن إسماعيل، أبو إبراهيم المزني ;175;791-92;264;877-78;Fertile Crescent;2ndH/8thC and 3rdH/9thC century; مختصر المزني (مطبوع ملحقا بالأم للشافعي); NODATA; فقه شافعي;1; NODATA; NODATA; Shamela_0001661; NODATA; http://shamela.ws/browse.php/book-1661; http://shamela.ws/index.php/book/1661; NODATA; NODATA; NODATA;محمد زهري النجار; NODATA; NODATA; دار المعرفة - بيروت; بيروت  لبنان ; 1410     1990 ; NODATA; NODATA; NODATA; NODATA; NODATA;201828;Books ### | Chapters ### ||, Quran @QB@ @QE@, Hadith @HB@ @HE@; NODATA
Fiqh20;NODATA;0600QutbdinBayhaqiKaydari.IdahShica;البيهقي;محمد بن الحسين البيهقي المعروف بالقطب الدين الكيدري;NODATA;NODATA;6th century;NODATA;Iran;6th/12th century;إصباح الشيعة بمصباح الشريعة;NODATA;فقه شيعي;1;NODATA;NODATA;NODATA; NODATA;https://books.rafed.net/view.php?type=c_fbook&b_id=1293; NODATA; NODATA; NODATA; NODATA; الشيخ إبراهيم البهادري;1; NODATA;إعتماد, مؤسسة الامام الصادق عليه السلام;طهران;NODATA; NODATA; NODATA; NODATA; NODATA; NODATA;96879;Books ### |, chapters ### ||; NODATA
Fiqh21;shamela.00014262;0710IbnAhmadHafizDinNasafi.KanzDaqaiq;أبو البركات النسفي;أبو البركات عبد الله بن أحمد بن محمود حافظ الدين النسفي;NODATA;NODATA;710;1310;Greater Khorasan;7th/13th century;كنز الدقائق;NODATA;فقه حنفي;1;NODATA;http://shamela.ws/index.php/book/14262;http://shamela.ws/browse.php/book-14262; NODATA;; NODATA; NODATA; NODATA; NODATA;  سائد بكداش;1;1;الناشر: دار البشائر الإسلامية، دار السراج;دمشق سوريا; 1432 2011; NODATA; NODATA; NODATA; NODATA; NODATA;38233;Books ### |, chapters ### ||;NODATA
Fiqh22; JK_000154;0620IbnQudamaMaqdisi.MughniFiFiqh; ابن قدامة; عبد الله بن أحمد بن قدامة المقدسي أبو محمد;541;620;1146;1223;Fertile Crescent;7th/13th century; المغني في فقه الإمام أحمد بن حنبل الشيباني; NODATA; فقه حنبلي;12; NODATA; المغني; JK_000154; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; الأولى; NODATA; دار الفكر; بيروت لبنان ;1405; NODATA; NODATA; NODATA; NODATA; NODATA;1961758;Books ### |, Quran @QB@ @QE@,; NODATA
Fiqh23; JK_001168;0676Nawawi.ManahijTalibin; النووي; يحيى بن شرف النووي أبو زكريا;631;1233;676;1277; Fertile Crescent ; 7th/13th century; منهاج الطالبين وعمدة المفتين; NODATA; فقه شافعي;1; NODATA; منهاج الطالبين; JK_001168; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; دار المعرفة;  لبنان بيروت; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA;88670; Books ### |, chapters ### ||, subchapters ### ||| Quran @QB@ @QE@; NODATA
Fiqh24; JK_003500;0684ShihabDinQarafi.Thakhira; القرافي; شهاب الدين أحمد بن إدريس القرافي;626;1228;684;1285; Fertile Crescent ; 7th/13th century; الذخيرة; NODATA;فقه مالكي;14; NODATA; الذخيرة; JK_003500; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; محمد حجي; NODATA; NODATA; دار الغرب; لبنان بيروت; 1994م; NODATA; NODATA; NODATA; NODATA; NODATA;1417018; Books ### |, chapters ### ||, Quran @QB@ @QE@,; NODATA
Fiqh25; Shia_000057Vols;0676IbnHasanMuhaqqiqHilli.SharaicIslam; المحقق الحلي; جعفر بن الحسن بن يحيى بن الحسن بن سعيد الهذلي الحلي;602;1205;676;1277; Fertile Crescent; 7th/13th century; شرائع الإسلام; NODATA;فقه شيعي;4; NODATA; NODATA; Shia_000057Vols; NODATA; http://shiaonlinelibrary.com/الكتب/57_شرائع-الإسلام-المحقق-الحلي-ج-1; NODATA; NODATA; NODATA; NODATA; مع تعليقات : السيد صادق الشيرازي; الثانية; NODATA; أمير; طهران إيران ;1409; NODATA; NODATA; NODATA; NODATA; NODATA;1464584;Books ### |, ; NODATA
Fiqh26; JK_011690;0786IbnMuhammadBabarti.CinayaSharhHidaya; البابرتي; محمد بن محمد بن محمود، أكمل الدين أبو عبد الله ابن الشيخ شمس الدين ابن الشيخ جمال الدين الرومي البابرتي;714;1314;786;1384; Fertile Crescent ; 8th/14th century; العناية شرح الهداية; NODATA;فقه حنفي;10; NODATA; العناية شرح الهداية; JK_011690; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA;1190224;Books ### | , chapters ### ||, Quran @QB@ @QE@; NODATA
Fiqh27; JK_000302;0763IbnMuflihHanbaliMuqaddasi.FurucWaTashihFuruc.; ابن مفلح; محمد بن مفلح المقدسي أبو عبد الله;717;1308;763;1362; Fertile Crescent ; 8th/14th century; الفروع وتصحيح الفروع; NODATA; فقه حنبلي;6; NODATA; الفروع; JK_000302; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; أبو الزهراء حازم القاضي; الأولى; NODATA; دار الكتب العلمية; بيروت لبنان;1418; NODATA; NODATA; NODATA; NODATA; NODATA;845176; Books ### |, Quran @QB@ @QE@; NODATA
Fiqh28;  Shamela_0014442;0776Aljundi.AltawdihFiShafh;  NODATA;  خليل بن إسحاق بن موسى، ضياء الدين الجندي المالكي المصري;  NODATA;  NODATA;776;  1365-66;   Fertile Crescent ;   8th/14th century;  التوضيح في شرح مختصر ابن الحاجب خليل بن إسحاق الجندي;  NODATA;  فقه مالكي ;8;  NODATA;  NODATA;  Shamela_0014442;   NODATA;  http://shamela.ws/browse.php/book-14442;   NODATA;   NODATA;   NODATA;   NODATA;  أحمد بن عبد الكريم نجيب;1;1;  مركز نجيبويه للمخطوطات وخدمة التراث;  Cairo Egypt ;  1429  2008;   NODATA;   NODATA;   NODATA;8;   NODATA;1177391;  Books ### |  Quran @QB@ @QE@;  NODATA
Fiqh29; Shamela_0037344;0769IbnLuluShihabDinIbnNaqibShafici.CumdatSalik; ابن النقيب الشافعي; أحمد بن لؤلؤ بن عبد الله الرومي، أبو العباس، شهاب الدين ابن النقيب الشافعي ;702;1302;769;1368; Fertile Crescent ; 8th/14th century; عمدة السالك وعدة الناسك; NODATA; فقه شافعي;1; NODATA; NODATA; Shamela_0037344; NODATA; http://shamela.ws/browse.php/book-37344; http://shamela.ws/index.php/book/37344; NODATA; NODATA; NODATA; NODATA; الأولى، 1982 م; NODATA; الشؤون الدينية، قطر; قطر; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA;41380;Books ### |, Chapters ### ||, subchapters ### |||; NODATA
Fiqh3; Shamela_0001699;0179MalikIbnAnas.Muwatta;مالك; مالك بن أنس بن مالك بن عامر الأصبحي المدني ;93;711;179;795; Fertile Crescent; 2ndH/8thC and 3rdH/9thC century; موطأ الإمام مالك; NODATA;فقه مالكي;1; NODATA; NODATA; Shamela_0001699; NODATA; http://shamela.ws/browse.php/book-1699; http://shamela.ws/index.php/book/1699; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; دار إحياء التراث العربي، بيروت - لبنان; NODATA; 1406 هـ - 1985 م; NODATA; NODATA; NODATA; NODATA; NODATA;151424; Books ### | Chapters ### ||  Quran @QB@ @QE@; NODATA
Fiqh30; Shia_000117Vols;0786ShahidAwwal.Durus; الشهيد الأول; الشيخ شمس الدين أبو عبد الله محمد بن جمال الدين مكي العاملي;734;1334;786;1385; Fertile Crescent; 8th/14th century; الدروس; NODATA;فقه شيعي;3; NODATA; NODATA; Shia_000117Vols; NODATA; ://shiaonlinelibrary.com/الكتب/117_الدروس-الشهيد-الأول-ج-1; NODATA; NODATA; NODATA; NODATA; مؤسسة النشر الإسلامي;1;1; NODATA; قم إيران ;1412; NODATA; NODATA; NODATA; NODATA; NODATA;198087; Books ### |; NODATA
Fiqh31; Shamela_0021744;0861IbnCabdWahidIbnHumamSiwasi.FathQadir;ابن الهمام;محمد بن عبد الواحد بن عبد الحميد ابن مسعودالسيواسي كمال الدين;790;1388;861;1457; Fertile Crescent; 9th/15th century; فتح القدير; NODATA;فقه حنفي;10; NODATA; NODATA; Shamela_0021744; NODATA; http://shamela.ws/browse.php/book-21744; http://shamela.ws/index.php/book/21744; NODATA; NODATA; NODATA; NODATA; بدون طبعة وبدون تاريخ; NODATA; دار الفكر; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA;2064650; Books ### | Quran @QB@ @QE@; NODATA
