;#META# 000.SortField;#META# 000.BookURI;#META# 010.AuthorAKA;#META# 010.AuthorNAME;#META# 011.AuthorBORNH;#META# 012.AuthorBORNC;#META# 013.AuthorDIEDH;#META# 014.AuthorDIEDC;#META# 015.Author Geographical Area;#META# 016.Century;#META# 020.BookTITLE;#META# 020.BookTITLESUB;#META# 021.BookSUBJ;#META# 022.BookVOLS;#META# 025.BookLANG;#META# 029.BookTITLEalt;#META# 030.LibURI;#META# 030.LibURIextra;#META# 031.LibREADONLINE;#META# 031.LibURL;#META# 031.LibURLFILE;#META# 031.LibURLextra;#META# 040.EdALL;#META# 040.EdEDITOR;#META# 041.EdNUMBER;#META# 041.EdNumber;#META# 043.EdPUBLISHER;#META# 044.EdPLACE;#META# 045.EdYEAR;#META# 049.EdISBN;#META# 049.EdPAGES;#META# 049.EdPHYSICAL;#META# 049.EdVOLUME;#META# 090.RecMISC;#META# 091.Number of tokens;#META# 092.Tagging;#META# 999.MiscINFO
Fiqh41; JK_000176;1088IbnCaliHaskafi.DurrMukhtar; الحصكفي; محمد بن علي بن محمد الحِصْني المعروف بعلاء الدين الحصكفي الحنفي; NODATA; NODATA;1088;1677; Fertile Crescent ;  11th/17th century; الدر المختار; NODATA;فقه حنفي;6; NODATA; الدر المختار; JK_000176; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; الثانية; NODATA; دار الفكر; بيروت;1386; NODATA; NODATA; NODATA; NODATA; NODATA;367642; Books ### | Chapters ### || Quran @QB@  @QE@ @BH@ Hadith; NODATA
Fiqh42;JK_000754;1122MuhammadZarqani.SharhCalaMuwatta; الزرقاني; محمد بن عبد الباقي بن يوسف الزرقاني;1055;1645 ;1122;1710;  Fertile Crescent;  11th/17th century; شرح الزرقاني على موطأ الإمام مالك; NODATA; فقه مالكي;4; NODATA; شرح الزرقاني;JK_000754; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; الأولى; NODATA; دار الكتب العلمية; بيروت;1411; NODATA; NODATA; NODATA; NODATA; NODATA;972714;Books ### |, Chapters ### ||, Quran @QB@ @QE@, Hadith @HB@ @HE@; NODATA
Fiqh43;JK_007135;1004ShamsDinRamli.NihayatMuhtaj;الشافعي الصغير; شمس الدين محمد بن أبي العباس أحمد بن حمزة ابن شهاب الدين الرملي ;919 ;1513 ;1104;1692;  Fertile Crescent ;  11th/17th century; نهاية المحتاج إلى شرح المنهاج.; NODATA; فقه شافعي;8; NODATA; نهاية المحتاج;JK_007135; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; دار الفكر للطباعة; بيروت;1404هـ - 1984م.; NODATA; NODATA; NODATA; NODATA; NODATA;1017677;  Books ### | Chaptersz### || Quran @QB@ @QE@; NODATA
Fiqh44;JK_000190;1051IbnYunusBuhutiHanbali.RawdMurbic; البهوتي; منصور بن يونس بن إدريس البهوتي;1000 ;1591 ;1051;1640;  Fertile Crescent;  11th/17th century; الروض المربع شرح زاد المستقنع; NODATA;فقه حنبلي;3; NODATA; الروض المربع;JK_000190; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; مكتبة الرياض الحديثة; الرياض;1390; NODATA; NODATA; NODATA; NODATA; NODATA;153334;Books ### |, Chapters ### ||, Fuṣūl ### ||| Quran @QB@ @QE@,; NODATA
Fiqh45; NODATA;1091MuhammadMuhsinFaydKashani.MafatihSaraiC; الفيض الكاشاني;محمد محسن بن مرتضى بن محمود الكاشاني ;1007;1599;1091;1680;Iran;  11th/17th century;  مفاتيح الشرائع; NODATA;  فقه شيعي ;3; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; مهدي الرجائي; NODATA; NODATA; مجمع الذخائر الإسلامية; قم;1980; NODATA; NODATA; NODATA; NODATA; NODATA;221494; Books ### | Chapters ### ||; NODATA
Fiqh46; JK_006887;1206IbnCabdWahhab.Fatawa; محمد بن عبد الوهاب;محمد بن عبد الوهاب بن سليمان التميمي النجدي; 1115 ;1703; 1206 ;1791;  Arabic Peninsula ;  12th/18th century; مجموعة الحديث على أبواب الفقه; NODATA;فقه حنبلي;1; NODATA; الفتاوى; JK_006887; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; صالح بن عبد الرحمن الأطرم ومحمد بن عبد الرزاق الدويش; الأولى; NODATA; مطابع الرياض; الرياض; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA;24666; Chapters ### ||; NODATA
; Shamela_0012061; 1206IbnCabdWahhab.Fatawa; محمد بن عبد الوهاب; محمد بن عبد الوهاب بن سليمان التميمي النجدي;1115;1703;1206;1791; Arabic Peninsula ; 12th/18th century; مجموعة الحديث على أبواب الفقه; NODATA; فقه حنبلي;4; NODATA; مجموعة الحديث على أبواب الفقه; Shamela_0012061; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA;  خليل إبراهيم ملا; NODATA; NODATA; جامعة الإمام محمد بن سعود; الرياض; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA;364504; Books ### | Chapters ### || Quran @QB@ @QE@ ; NODATA
Fiqh47; JK_007041;1204SulaymanJamal.Hashiya; سليمان الجمل; سليمان بن عمر بن منصور العجيلي الأزهري، المعروف بالجمل ; NODATA; NODATA;1204;1789; Fertile Crescent ;  12th/18th century; فتوحات الوهاب بتوضيح شرح منهج الطلاب المعروف بحاشية الجمل (منهج الطلاب اختصره زكريا الأنصاري من منهاج الطالبين للنووي ثم شرحه في شرح منهج الطلاب); NODATA; فقه شافعي;5; NODATA; NODATA; Shamela_0021598; NODATA; http://shamela.ws/browse.php/book-21598; http://shamela.ws/index.php/book/21598; NODATA; NODATA; NODATA; NODATA; بدون طبعة وبدون تاريخ; NODATA; دار الفكر; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA;2251387; Books ### | Chapters ### || Quran @QB@ @QE@ Hadith @HB@ @HE@; NODATA
Fiqh48; JK_00 21604;1230Dusuqi.SharhKabir;الدسوقي; محمد بن أحمد بن عرفة الدسوقي المالكي; NOCODE; NOCODE;1230;1815;  Fertile Crescent;  12th/18th century; الشرح الكبير للشيخ الدردير وحاشية الدسوقي محمد بن أحمد الدسوقي ; NOCODE; فقه مالكي;4; NOCODE; NOCODE; JK_00 21604; NOCODE; http://shamela.ws/browse.php/book-21604; NOCODE; NOCODE; NOCODE; NOCODE; NOCODE; NOCODE; NOCODE; دار الفكر ; بيروت; NOCODE; NODATA; NODATA; NODATA; NODATA; NODATA;1664518; Books ### | Quran @QB@ @QE@ ; NODATA
Fiqh49;NODATA;1231Tahtawi.Hashia;الطحطاوي;  أحمد بن محمد بن إسماعيل الطحطاوي الحنفي; NODATA; NODATA;1231;1815; Fertile Crescent;  12th/18th century;  حاشية الطحطاوي على مراقي الفلاح شرح نور الإيضاح ; NODATA; فقه حنفي ; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; محمد عبد العزيز; NODATA; NODATA; دار الكتب العلمية; بيروت ;1418  1997; NODATA; NODATA; NODATA; NODATA; NODATA;331118;Books ### |, Quran @QB@ @QE@ ; NODATA
Fiqh5; Shia_001115Vols;0274AhmadBarqi.Mahasin;أبو جعفر البرقي; أحمد بن محمد بن خالد البرقي; NODATA ; NODATA;274;887;Fertile Crescent; 2ndH/8thC and 3rdH/9thC century; المحاسن; NODATA; فقه شيعي;2; NODATA; NODATA; Shia_001115Vols; NODATA; http://shiaonlinelibrary.com/الكتب/1115_المحاسن-أحمد-بن-محمد-بن-خالد-البرقي-ج-1; NODATA; NODATA; NODATA; NODATA; تصحيح وتعليق : السيد جلال الدين الحسيني (المحدث); NODATA; NODATA; NODATA; NODATA; 1370 - 1330 ش; NODATA; NODATA; NODATA; NODATA; NODATA;145940;### ||; NODATA
Fiqh50; NODATE;1205MuhammadBaqirWahidBahbahani;الوحيد البهبهاني;محمّد باقر الوحيد البهبهاني;1118;1706;1205;1791;Iran;  12th/18th century; مصابيح الظلام;  NODATE;فقه شيعي; NODATE; NODATE; NODATE; NODATE; NODATE; NODATE; NODATE; NODATE; NODATE; NODATE;  محمّد نجفي دارابي (داراب كلائي); NODATE; NODATE; مؤسسة العلامة المجدد الوحيد البهبهاني ;  قم;1423; NODATE; NODATE; NODATE; NODATE; NODATE;972115; NODATE; NODATE
Fiqh51; JK_000179;1310BakriDimyati.HashiyaIcanaTalibin; الدمياطي; أبي بكر ابن السيد محمد شطا الدمياطي;1302;1885;1369;1950; Arabian Peninsula  ;  13th/19th century; حاشية إعانة الطالبين على حل ألفاظ فتح المعين لشرح قرة العين بمهمات الدين; NODATA; فقه شافعي;4; NODATA; إعانة الطالبين; JK_000179; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; دار الفكر للطباعة والنشر والتوزيع; بيروت; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA;961599; Books ### | Quran @QB@ @QE@ ; NODATA
Fiqh52; JK_000170;1252IbnCabidinDimashqi.RaddMuhtar; ابن عابدين; محمد أمين بن عمر بن عبد العزيز عابدين الدمشقي الحنفي;1198;1784;1252;1836; Fertile Crescent  ;  13th/19th century; حاشية رد المختار على الدر المختار شرح تنوير الأبصار فقه أبو حنيفة; NODATA; فقه حنفي ;8; NODATA; حاشية ابن عابدين; JK_000170; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; دار الفكر للطباعة والنشر.; بيروت.; 1421هـ - 2000م.; NODATA; NODATA; NODATA; NODATA; NODATA;2550368; Books ### | Quran @QB@ @QE@ ; NODATA
Fiqh53; JK_000218;1335IbnCabdSamicAbiAzhari.ThamrDani; الأزهري; صالح عبد السميع الآبي الأزهري; NODATA; NODATA;1335;1916; Islamic West  ;  13th/19th century; الثمر الداني في تقريب المعاني شرح رسالة ابن أبي زيد القيرواني; NODATA; فقه مالكي;1; NODATA; الثمر الداني شرح رسالة القيرواني; JK_000218; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; المكتبة الثقافية; بيروت; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA;174005; Books ### | Quran @QB@ @QE@; NODATA
Fiqh54; Shamela_0097809;1319IbnYasinLabadiNabulusi.HashiyatCalaNaylMaarib;النابلسي; عبد الغني بن ياسين بن محمود بن ياسين بن طه بن أحمد اللبدي النابلسي الحنبلي ; NODATA; NODATA;1319;1901; Fertile Crescent ;  13th/19th century; حاشية اللبدي على نيل المآرب; NODATA; فقه حنبلي;2; NODATA; NODATA; Shamela_0097809; NODATA; http://shamela.ws/browse.php/book-97809; http://shamela.ws/index.php/book/97809; NODATA; NODATA; NODATA; الدكتور محمد سليمان الأشقر; الأولى، 1419 هـ - 1999 م; NODATA; دار البشائر الإسلامية للطباعة والنشر والتوزيع، بيروت - لبنان; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA;118608;Books ### |  Chapters ### || Quran @QB@ @QE@; Shamela_0097809
Fiqh55; Shia_000317Vols;1266MuhammadHasanNajafiJawhari.JawahirKalam; الشيخ الجواهري; محمد حسن ابن الشيخ باقر ابن الشيخ عبد الرحيم ابن الأغا محمد الصغير ابن الأغا عبد الرحيم الشريف الكبير;1785;1199;1266;1849; Greater Khorasan;  13th/19th century; جواهر الكلام; NODATA;فقه شيعي;43; NODATA; NODATA; Shia_000317Vols; NODATA; http://shiaonlinelibrary.com/الكتب/317_جواهر-الكلام-الشيخ-الجواهري-ج-1; NODATA; NODATA; NODATA; NODATA; تحقيق وتعليق : الشيخ عباس القوچاني; الثانية; NODATA; NODATA; NODATA; 1365 ش; NODATA; NODATA; NODATA; NODATA; NODATA;5333667; Books ### | ; NODATA
Fiqh6;  Shamela_0014335;0373AbuLaythSamarqandi.CuyunMasail;أبو الليث السمرقندي;أبو الليث نصر بن محمد بن إبراهيم بن الخطاب السمرقندي;333; 944/945;373; 983-84; Fertile Crescent;4th/10th century; عيون المسائل; NODATA;فقه الحنفي;1; NODATA; NODATA; Shamela_0014335; NODATA; http://shamela.ws/browse.php/book-14335; http://shamela.ws/index.php/book/14335; NODATA; NODATA; NODATA;  صلاح الدِّين الناهي; NODATA; NODATA; مطبعة أسعد; بغداد العراق;1966; NODATA; NODATA; NODATA; NODATA; NODATA;89370;Books ### |; NODATA
Fiqh7; JK_000428;0334IbnHusaynKhiraqi.MukhtasarMinMasailIbnHanbal; الخرقي; أبو القاسم عمر بن الحسين الخرقي; NODATA; NODATA;334; 945/946; Fertile Crescent;4th/10th century; مختصر الخرقي من مسائل الإمام أحمد بن حنبل; NODATA; فقه حنبلي;1; NODATA; مختصر الخرقي; JK_000428; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA; زهير الشاويش; الثالثة; NODATA; المكتب الإسلامي; بيروت لبنان;1403; NODATA; NODATA; NODATA; NODATA; NODATA;36539;Books ### | chapters ### || Quran @QB@ @QE@ ; NODATA
Fiqh8; Shamela_0096257;0386IbnAbiZaydQayrawani.NawadirWaZiyadat;ابن أبي زيد القيرواني; أبو محمد عبد الله بن (أبي زيد) عبد الرحمن النفزي، القيرواني، المالكي ;310;922\923;386;966;Islamic West;4th/10th century; النوادر والزيادات على ما في المدونة من غيرها من الأمهات; NODATA; فقه مالكي; 15 (14 جزء، ومجلد فهارس); NODATA; NODATA; Shamela_0096257; NODATA; http://shamela.ws/browse.php/book-96257; http://shamela.ws/index.php/book/96257; NODATA; NODATA; NODATA; NODATA;  1; NODATA; دار الغرب الإسلامي; بيروت لبنان; 1999; NODATA; NODATA; NODATA; NODATA; NODATA;1715091; Books ### |, chapters ### ||, Quran @QB@ @QE@, Hadith @HB@  @HE@ ; NODATA
Fiqh9; Shamela_0008534;0415IbnMuhammadMahamili.LubabFiFiqhShafici;أبو الحسن البغدادي; أحمد بن محمد بن أحمد بن القاسم الضبي، أبو الحسن ابن المحاملي الشافعي ;368;978;415;1024; Fertile Crescent; 4th/10th century; اللباب في الفقه الشافعي; NODATA; فقه شافعي;1; NODATA; NODATA; Shamela_0008534; NODATA; http://shamela.ws/browse.php/book-8534; http://shamela.ws/index.php/book/8534; NODATA; NODATA; NODATA; عبد الكريم بن صنيتان العمري;1; NODATA; دار البخارى، المدينة المنورة،;  المملكة العربية السعودية; NODATA; NODATA; NODATA; NODATA; NODATA; NODATA;28503;  Books ### |, , Quran @BQ@ @QE@ ; NODATA
